class	xtl	ytl	xbr	ybr	temporary	occluded	data
6.6	818	945	837	964	false	false	
5.19.1	584	937	611	964	false	true	
4.1.2	661	942	700	981	false	false	
2.4	662	899	703	937	false	false	
2.2	656	844	709	896	false	false	
5.19.2	2103	695	2162	828	false	false	
3.24	706	955	725	972	false	false	80
3.27	706	975	726	999	false	false	
8.24	705	1001	728	1011	false	false	
4.2.1	65	948	105	988	false	true	
1.34.3	81	1027	118	1056	false	true	
1.25	26	986	63	1025	true	false	
4.2.3	65	993	95	1025	false	false	
3.24	97	991	119	1015	true	false	80
