class	xtl	ytl	xbr	ybr	temporary	occluded	data
3.24	1337	932	1351	946	false	false	80
6.9.1	1305	884	1365	917	false	true	NA
5.14	1336	888	1350	901	false	false	
8.2.4	1409	920	1418	938	false	false	
8.24	1401	907	1423	917	false	false	
3.27	1401	877	1422	898	false	false	
1.34.3	1438	940	1461	1011	false	false	
4.2.3	1435	913	1459	938	false	false	
1.20.2	1193	961	1214	982	true	false	
4.2.3	1163	931	1195	964	false	true	
6.9.2	1201	505	1501	660	false	false	NA
6.9.1	1377	940	1402	954	false	true	NA
5.19.2	1768	910	1774	934	false	false	
