class	xtl	ytl	xbr	ybr	temporary	occluded	data
6.10.1	1355	958	1373	968	false	false	NA
6.10.1	1409	930	1426	941	false	true	NA
8.5.2	1526	769	1570	789	false	false	
8.23	1526	895	1580	920	false	false	
3.24	1530	838	1572	882	false	false	80
1.20.2	1217	962	1237	980	true	false	
1.25	1194	962	1213	979	true	false	
5.14	1524	715	1569	758	false	false	
6.9.1	1309	848	1391	891	false	true	NA
6.9.1	1390	941	1413	953	false	true	NA
3.24	1178	968	1191	972	false	true	60
4.2.3	1192	935	1221	964	false	true	
1.34.2	1195	981	1228	996	false	true	
4.2.1	1183	946	1191	962	false	true	
