class	xtl	ytl	xbr	ybr	temporary	occluded	data
6.9.2	2238	884	2317	919	false	true	NA
4.2.3	1794	924	1838	967	false	true	
1.20.2	1831	964	1858	992	true	false	
1.25	1797	964	1823	990	true	false	
3.24	1768	968	1794	996	true	false	60
1.34.2	1787	993	1853	1011	false	true	
1.34.3	1941	997	1991	1010	false	true	
5.16	182	921	203	960	false	false	
8.24	1964	814	2110	886	false	false	
3.27	1958	667	2107	808	false	false	
3.24	1955	510	2104	652	false	false	80
4.2.1	1958	951	1987	978	false	true	
3.24	1986	977	2003	993	true	false	80
4.2.3	1963	977	1982	996	false	false	
1.25	1935	974	1958	994	true	false	
5.16	2414	850	2447	910	false	true	
