class	xtl	ytl	xbr	ybr	temporary	occluded	data
1.34.3	1414	978	1427	987	false	true	
3.24	1419	962	1430	974	true	true	80
4.2.3	1364	926	1393	955	false	true	
1.20.2	1389	957	1407	974	true	false	
1.34.2	1361	977	1395	989	false	true	
1.25	1368	957	1386	973	true	false	
3.24	1350	961	1366	977	true	false	60
8.2.4	1790	916	1818	972	false	false	
3.27	1772	827	1827	883	false	false	
6.9.2	1427	801	1538	859	false	false	NA
6.9.1	1540	900	1584	924	false	true	NA
4.2.1	1402	943	1420	964	false	true	
8.24	1777	885	1831	913	false	false	
