class	xtl	ytl	xbr	ybr	temporary	occluded	data
6.10.1	1381	940	1399	951	false	true	NA
8.2.4	2177	664	2230	773	false	false	
8.24	2143	596	2257	652	false	false	
3.27	2138	444	2248	559	false	false	
8.5.2	1450	815	1486	831	false	false	
8.23	1450	919	1495	939	false	false	
3.24	1452	872	1488	907	false	false	80
1.20.2	1190	971	1208	988	true	true	
1.25	1167	971	1185	988	true	true	
5.14	1447	768	1485	805	false	false	
6.9.1	1285	863	1363	904	false	true	NA
6.9.1	1362	948	1387	961	false	true	NA
3.24	1152	976	1165	981	false	true	60
4.2.3	1167	947	1193	972	false	true	
6.10.1	1334	967	1346	977	false	true	NA
1.34.2	1168	988	1204	1005	false	true	
