class	xtl	ytl	xbr	ybr	temporary	occluded	data
8.5.2	1361	898	1377	906	false	false	
3.24	1361	925	1378	941	false	false	80
4.2.3	1502	895	1534	929	false	false	
4.2.3	1178	930	1210	960	false	true	
1.20.2	1211	959	1228	983	true	true	
5.14	1360	876	1376	892	false	false	
6.9.2	1212	354	1610	557	false	false	NA
8.2.4	1455	907	1467	932	false	false	
8.24	1445	892	1472	906	false	false	
6.9.1	1319	881	1379	913	false	true	NA
3.27	1446	858	1470	882	false	false	
1.34.3	1506	931	1535	1017	false	false	
6.9.1	1385	938	1417	955	false	true	NA
5.19.2	1895	895	1905	923	false	false	
