class	xtl	ytl	xbr	ybr	temporary	occluded	data
NA	1958	945	1969	961	false	false	50 м
2.1	1972	946	1981	955	false	false	
3.1	1896	917	1910	931	false	false	
8.22.3	1755	933	1769	982	false	false	
5.19.2	1783	941	1803	961	false	false	
4.2.3	1735	993	1754	1008	false	true	
4.2.3	1751	905	1777	930	false	false	
3.1	1576	919	1589	932	false	false	
8.5.4	1898	941	1910	946	false	false	6.00 - 22.00
8.4.1	1897	933	1910	938	false	false	12 т без пропуска
8.4.1	1577	933	1589	938	false	false	12 т без пропуска
8.5.4	1577	940	1589	946	false	false	6.00 - 22.00
8.1.1	1577	949	1586	955	false	false	250 м
6.9.2	1933	881	1967	907	false	true	М9 Псков М3 Калуга МКАД
6.9.1	2023	926	2047	938	false	true	NA
5.5	774	932	782	948	false	false	
5.6	1317	948	1327	958	false	false	
3.24	1317	958	1327	962	false	true	10
