class	xtl	ytl	xbr	ybr	temporary	occluded	data
1.20.2	1771	1004	1792	1026	true	false	
4.2.2	1757	1004	1776	1023	false	true	
3.24	1789	1000	1809	1020	true	false	40
8	495	934	510	942	false	false	NA
4.1.2	203	901	217	916	false	false	
2.4	202	883	219	898	false	false	
3.1	1206	919	1222	941	false	false	
6.9.1	113	876	148	892	false	true	NA
1.25	1802	1002	1827	1025	false	false	
2.1	1932	906	1964	940	false	false	
6.9.2	1955	946	1986	962	false	true	Можайское ш. МКАД - Север МКАД - Юг
4.1.4	1933	944	1957	969	false	false	
4.2.3	1920	946	1935	966	false	true	
8.22.3	1924	970	1934	1017	false	false	
