class	xtl	ytl	xbr	ybr	temporary	occluded	data
4.2.2	1725	964	1736	974	false	false	
1.34.2	1727	976	1760	983	false	true	
8.22.3	1660	901	1692	1017	false	false	
4.2.3	1646	833	1706	893	false	false	
3.24	1431	932	1450	951	false	false	100
2.1	1305	982	1315	993	false	false	
4.1.1	1305	995	1314	1005	false	false	
6.9.1	1233	955	1276	982	false	false	Сколковское ш. Сколково 100 м
6.9.2	1189	956	1216	983	false	true	Заречье МКАД
5.4	2225	873	2289	963	false	false	
6.9.2	1134	956	1177	982	false	true	Внуково М3 Калуга Ленинский пр-т МКАД МКАД
4.2.3	1668	1042	1731	1109	false	false	
6.7	208	952	224	968	false	false	
