class	xtl	ytl	xbr	ybr	temporary	occluded	data
3.4	1226	941	1240	958	false	false	8т
8.2.2	1673	902	1702	955	false	false	70 м
3.27	1662	843	1713	897	false	false	
8.1.1	1413	1021	1437	1038	false	false	20 м
1.31	1156	940	1173	957	false	false	
8.2.1	1157	958	1173	964	false	false	600 м
6.10.1	1730	819	2034	979	false	false	NA
3.24	1256	942	1270	959	false	false	40
8.22.3	1087	1018	1099	1057	false	false	
4.2.3	1086	1002	1101	1015	false	false	
8.2.2	839	961	865	1013	false	false	70 м
3.10	829	848	881	901	false	false	
3.27	827	904	881	957	false	false	
