class	xtl	ytl	xbr	ybr	temporary	occluded	data
6.9.1	1179	966	1197	976	false	false	NA
6.9.2	1495	742	1659	863	false	true	М3 Калуга Внуково МКАД-Юг
4.1.2	2124	910	2144	967	false	false	
2.4	2123	839	2147	897	false	false	
8.22.3	1220	1002	1228	1022	false	true	
4.1.1	622	978	636	992	false	false	
8.2.5	1349	977	1360	985	false	true	600 м
8.2.1	1254	998	1263	1003	false	false	400 м
3.24	1255	988	1263	997	false	false	50
3.24	1352	988	1364	1000	false	true	50
4.2.3	1219	989	1229	1000	false	false	
8.2.1	1350	1001	1363	1008	false	false	400 м
5.23.1	1353	979	1372	987	false	false	Москва
5.24.1	1358	989	1382	994	false	false	Ново-Ивановское
4.1.1	1192	988	1196	992	false	false	
