class	xtl	ytl	xbr	ybr	temporary	occluded	data
3.1	2170	900	2194	923	false	false	
6.10.1	1355	899	1483	962	false	true	NA
6.16	1599	917	1655	934	false	false	
8.2.6	1658	825	1701	846	false	false	50 м
3.4	1658	777	1700	819	false	false	8т
6.10.1	1775	919	1922	953	false	false	Храм новомучеников и исповедников российских
6.10.1	1777	882	1922	914	false	false	Заречье
8.2.2	1329	935	1340	958	false	false	70 м
3.27	1324	909	1343	932	false	false	
8.1.1	1245	989	1259	998	false	false	20 м
3.24	1138	933	1148	945	false	false	40
3.4	1115	934	1126	945	false	false	8т
8.22.3	1017	993	1026	1020	false	false	
4.2.3	1016	981	1026	991	false	false	
8.2.2	970	971	982	995	false	false	70 м
3.27	964	946	988	970	false	false	
3.10	965	922	988	945	false	false	
5.15.1	410	943	434	972	false	false	
1.31	1064	934	1079	946	false	false	
8.2.1	1066	947	1077	952	false	false	600 м
5.19.1	1655	907	1666	933	false	false	
