class	xtl	ytl	xbr	ybr	temporary	occluded	data
6.10.1	1406	875	1438	882	false	true	ХРАМ НОВОМУЧЕНИКОВ И ИСПОВЕДНИКОВ РОССИЙСКИХ
6.10.1	1342	863	1390	887	false	true	NA
6.10.1	1406	867	1438	874	false	true	ЗАРЕЧЬЕ
6.10.1	1389	810	1427	829	false	false	NA
5.15.1	1482	835	1504	853	false	false	
6.6	1825	604	1969	749	false	false	
8.22.3	350	896	405	1064	false	true	
4.2.3	335	810	412	888	false	false	
5.5	1679	833	1729	882	false	false	
5.16	1518	815	1531	835	false	false	
3.4	1393	843	1403	851	false	false	8 т
