class	xtl	ytl	xbr	ybr	temporary	occluded	data
5.16	1669	809	1725	895	false	false	
8.17	423	834	485	908	false	false	
5.19.2	2009	667	2123	782	false	false	
5.20	1281	941	1294	955	false	false	
5.19.1	1444	872	1483	911	false	false	
3.27	1555	841	1608	894	false	false	
8.17	77	1020	282	1126	false	false	
5.20	84	812	278	1012	false	false	
5.19.2	86	602	278	803	false	false	
5.19.2	943	875	983	915	false	false	
8.17	946	917	984	936	false	false	
5.16	1349	915	1367	944	false	false	
5.20	1445	915	1484	954	false	false	
2.4	1071	941	1077	960	false	false	
5.7.2	1070	930	1088	938	false	true	
