class	xtl	ytl	xbr	ybr	temporary	occluded	data
2.1	1345	975	1357	987	false	true	
8.22.3	1354	983	1362	1009	false	false	
4.2.3	1351	966	1363	978	false	false	
4.2.3	1354	1011	1365	1022	false	true	
6.9.2	0	303	455	585	false	true	NA
5.4	1477	977	1484	996	false	true	
6.10.2	1384	939	1434	957	false	true	53
3.24	1580	771	1667	858	false	false	100
6.9.1	990	276	1495	559	false	false	NA
5.3	1578	628	1665	766	false	false	
6.9.2	569	284	848	563	false	false	Заречье МКАД
6.10.1	1272	850	1344	886	false	false	Сколково
4.1.1	1347	988	1353	999	false	true	
