class	xtl	ytl	xbr	ybr	temporary	occluded	data
8.2.2	975	920	988	949	false	false	70 м
3.27	968	890	996	919	false	false	
3.10	968	860	995	889	false	false	
8.22.3	1022	950	1031	980	false	false	
4.2.3	1020	935	1032	947	false	false	
6.10.1	1455	831	1616	911	false	true	NA
5.19.1	1862	838	1877	871	false	false	
6.16	1945	831	2037	857	false	false	
8.1.4	2100	676	2173	708	false	false	50 м
3.4	2099	596	2173	667	false	false	8 т
6.10.1	2440	747	2448	806	false	true	ЗАРЕЧЬЕ
8.2.2	1423	876	1438	904	false	false	70 м
6.10.1	2436	814	2448	876	false	true	ХРАМ НОВОМУЧЕНИКОВ И ИСПОВЕДНИКОВ РОССИЙСКИХ
3.27	1417	844	1443	873	false	false	
5.15.1	228	882	257	919	false	true	
4.2.3	1038	994	1047	1004	false	true	
