class	xtl	ytl	xbr	ybr	temporary	occluded	data
8.17	863	900	912	925	false	false	
5.19.2	861	848	911	898	false	false	
5.7.2	1041	923	1061	934	false	true	
2.4	1042	936	1050	957	false	false	
5.16	1918	711	2010	849	false	false	
5.20	1275	936	1290	952	false	false	
5.19.1	1496	844	1547	894	false	false	
3.27	1682	786	1756	861	false	false	
5.16	1357	905	1378	939	false	false	
5.20	1496	896	1549	950	false	false	
3.1	342	953	351	963	false	false	
5.20	1801	947	1806	967	false	false	
5.19.2	1800	931	1806	944	false	true	
