class	xtl	ytl	xbr	ybr	temporary	occluded	data
8.22.3	1372	973	1379	997	false	false	
4.2.3	1369	959	1380	969	false	false	
4.2.3	1372	999	1382	1008	false	true	
6.9.2	250	504	701	704	false	false	NA
5.4	1480	968	1485	985	false	true	
6.10.2	1392	935	1433	951	false	true	53
3.24	1461	841	1515	897	false	false	100
6.9.1	1076	485	1427	682	false	false	NA
5.3	1460	753	1514	839	false	false	
6.9.2	781	490	977	685	false	false	Заречье МКАД
6.10.1	1294	853	1360	887	false	false	Сколково
2.1	1366	967	1377	976	false	true	
