class	xtl	ytl	xbr	ybr	temporary	occluded	data
3.27	1545	866	1591	912	false	false	
5.20	12	962	25	975	false	false	
8.17	543	1014	668	1078	false	false	
5.20	546	886	666	1008	false	false	
5.19.2	549	758	666	878	false	false	
5.19.2	1012	895	1047	930	false	false	
8.17	1014	932	1048	949	false	false	
5.19.1	1459	890	1493	925	false	false	
5.20	1459	928	1494	963	false	false	
5.20	1320	950	1332	962	false	false	
5.16	1380	926	1398	954	false	false	
8.17	708	890	740	939	false	false	
5.19.2	1831	753	1915	838	false	false	
5.16	1626	842	1674	915	false	false	
2.4	1121	952	1126	967	false	false	
5.7.2	1120	940	1136	948	false	true	
