class	xtl	ytl	xbr	ybr	temporary	occluded	data
2.1	1290	966	1303	980	false	true	
8.22.3	1301	974	1310	1002	false	false	
4.2.3	1299	957	1311	970	false	false	
4.2.3	1302	1006	1314	1018	false	true	
4.1.1	1293	983	1301	993	false	true	
5.4	1433	968	1445	990	false	true	
6.10.2	1342	924	1402	945	false	true	53
3.24	2054	422	2283	641	false	false	100
6.9.1	740	0	1660	187	false	true	NA
5.3	2048	50	2294	419	false	false	
6.9.2	0	0	475	190	false	true	Заречье МКАД
6.10.1	1215	826	1294	866	false	false	Сколково
5.3	1291	977	1299	991	false	true	
