class	xtl	ytl	xbr	ybr	temporary	occluded	data
3.10	1070	998	1082	1012	false	true	
5.15.1	785	1015	794	1029	false	true	
3.27	1070	1014	1081	1027	false	true	
5.7.2	408	989	432	999	false	false	
8.2.2	1072	1028	1078	1042	false	false	70 м
3.1	1806	981	1819	995	false	true	
6.10.1	1575	814	1682	867	false	false	NA
6.10.1	1306	982	1386	1021	false	true	NA
8.2.2	1291	1005	1297	1019	false	false	70 м
3.27	1289	990	1300	1003	false	false	
8.1.4	1441	958	1462	967	false	false	50 м
2.4	414	1001	426	1015	false	false	
6.10.1	1480	1001	1543	1016	false	false	ХРАМ НОВОМУЧЕНИКОВ И ИСПОВЕДНИКОВ РОССИЙСКИХ
3.4	1442	936	1461	954	false	false	8 т
6.10.1	1480	986	1543	999	false	false	ЗАРЕЧЬЕ
6.16	1421	999	1448	1007	false	false	
