class	xtl	ytl	xbr	ybr	temporary	occluded	data
8.17	1120	974	1130	979	false	true	
5.16	2298	564	2437	771	false	false	
3.27	1434	899	1471	935	false	false	
5.20	1434	937	1468	971	false	false	
5.16	1280	957	1290	973	false	true	
5.20	1291	953	1304	965	false	false	
5.20	1104	979	1117	993	false	false	
5.16	1760	785	1821	887	false	false	
5.19.2	1104	964	1118	978	false	false	
5.19.2	1263	960	1272	965	false	true	
8.17	1104	994	1118	1002	false	false	
5.19.2	1284	953	1290	965	false	true	
5.19.2	1120	962	1128	973	false	true	
