class	xtl	ytl	xbr	ybr	temporary	occluded	data
3.27	1454	902	1488	936	false	false	
5.16	1318	954	1329	970	false	true	
5.20	1329	950	1340	962	false	false	
5.20	192	973	201	983	false	true	
5.20	1149	975	1161	988	false	false	
5.16	1702	817	1752	902	false	false	
5.19.2	1149	960	1162	974	false	false	
5.19.2	1303	957	1311	962	false	true	
8.17	1149	990	1161	998	false	false	
5.19.2	1323	950	1328	960	false	true	
5.19.2	1164	959	1172	969	false	true	
5.20	1455	938	1486	968	false	false	
5.16	2011	685	2042	730	false	true	
8.17	1163	970	1173	975	false	true	
