class	xtl	ytl	xbr	ybr	temporary	occluded	data
5.19.2	1345	951	1349	957	false	true	
5.19.2	1192	959	1202	969	false	true	
5.20	1456	942	1483	969	false	false	
3.27	1454	910	1485	940	false	false	
5.20	267	971	276	984	false	false	
5.20	1350	951	1362	963	false	false	
5.16	1342	958	1351	970	false	true	
5.20	1180	975	1192	988	false	false	
5.19.2	1180	960	1191	974	false	false	
8.17	0	780	10	897	false	true	
8.17	1180	990	1192	996	false	false	
5.16	1629	848	1654	917	false	true	
5.19.2	1327	957	1336	966	false	true	
