class	xtl	ytl	xbr	ybr	temporary	occluded	data
5.20	1321	953	1332	965	false	false	
5.16	1367	935	1383	958	false	false	
5.19.2	1060	915	1087	940	false	false	
8.17	1061	943	1088	957	false	false	
5.19.2	856	864	917	927	false	false	
5.20	855	932	917	995	false	false	
8.17	853	1000	917	1033	false	false	
5.20	138	962	150	974	false	false	
2.4	119	964	127	974	false	false	
5.19.1	1415	910	1430	937	false	true	
5.20	1416	942	1428	968	false	true	
8.17	920	930	933	957	false	false	
5.7.2	1141	946	1156	953	false	true	
