class	xtl	ytl	xbr	ybr	temporary	occluded	data
3.27	1331	1017	1341	1027	false	false	
6.16	1424	1022	1442	1028	false	false	
3.4	1437	976	1449	989	false	false	8 т
6.10.1	1460	1023	1505	1033	false	false	ХРАМ НОВОМУЧЕНИКОВ И ИСПОВЕДНИКОВ РОССИЙСКИХ
6.10.1	1461	1012	1505	1021	false	false	ЗАРЕЧЬЕ
5.15.1	1846	900	1905	945	false	false	
6.10.1	1478	909	1541	941	false	false	NA
6.10.1	1345	1010	1408	1041	false	true	NA
5.16	1826	883	1851	925	false	true	
3.1	1740	1008	1750	1017	false	true	
8.1.4	1437	992	1451	998	false	false	50 м
8.2.2	1334	1028	1340	1040	false	false	70 м
5.15.1	947	1036	954	1048	false	false	
5.7.2	663	1019	680	1025	false	true	
2.4	667	1026	674	1040	false	true	
