class	xtl	ytl	xbr	ybr	temporary	occluded	data
5.15.1	107	846	150	891	false	false	
8.2.2	970	903	985	934	false	false	70 м
3.27	962	868	994	901	false	false	
3.10	962	836	994	867	false	false	
8.2.2	1462	858	1479	889	false	false	70 м
3.27	1456	823	1484	854	false	false	
5.19.1	1955	819	1975	856	false	false	
6.16	2136	795	2253	829	false	false	
8.1.4	2373	594	2448	635	false	true	50 м
3.4	2371	490	2448	580	false	true	8 т
4.2.3	1028	921	1041	933	false	false	
6.10.1	1496	807	1674	899	false	true	NA
8.22.3	1030	936	1039	968	false	false	
4.2.3	1044	982	1054	992	false	true	
