class	xtl	ytl	xbr	ybr	temporary	occluded	data
3.1	40	952	51	964	false	false	
2.4	1397	957	1409	967	false	false	
5.16	1530	810	1585	895	false	false	
5.20	1270	922	1294	947	false	false	
5.7.2	826	875	866	898	false	true	
2.4	831	901	843	947	false	false	
1.17	1921	832	1935	888	false	false	
5.20	2328	931	2350	974	false	false	
5.19.2	2327	885	2351	928	false	false	
2.4	1043	956	1051	967	false	false	
2.4	58	954	65	966	false	false	
2.4	2155	963	2163	973	false	false	
2.4	2403	966	2411	976	false	false	
2.4	1907	963	1918	968	false	true	
