class	xtl	ytl	xbr	ybr	temporary	occluded	data
5.5	1551	972	1563	985	false	false	
5.23.1	1379	940	1437	959	false	true	ЗАРЕЧЬЕ
6.10.1	1388	883	1487	899	false	false	КЛАДБИЩЕ
6.9.2	1532	659	1709	749	false	false	NA
3.1	994	998	1006	1011	false	false	
6.10.1	1382	908	1507	987	false	true	NA
5.16	938	979	945	990	false	false	
6.6	730	996	744	1011	false	false	
4.2.3	1232	981	1246	995	false	false	
8.22.3	1235	996	1245	1033	false	false	
5.15.1	1650	940	1662	950	false	false	
5.16	1691	925	1698	936	false	false	
6.10.1	1658	913	1680	924	false	true	NA
