class	xtl	ytl	xbr	ybr	temporary	occluded	data
2.4	881	956	889	967	false	false	
2.4	2391	962	2400	972	false	false	
2.4	2131	958	2136	960	false	true	
2.4	1855	960	1867	971	false	false	
5.7.2	258	775	330	823	false	true	
2.4	265	826	276	912	false	false	
2.4	1287	956	1300	967	false	false	
5.20	1141	902	1175	937	false	false	
5.16	2029	384	2221	679	false	false	
4.1.1	756	952	764	962	false	false	
5.7.2	1285	950	1302	955	false	false	
5.7.2	1573	951	1588	956	false	false	
5.7.2	1853	954	1869	960	false	false	
