class	xtl	ytl	xbr	ybr	temporary	occluded	data
6.6	1599	880	1641	922	false	false	
3.1	504	952	531	984	false	false	
8.22.3	1060	950	1084	1034	false	false	
4.2.3	1055	915	1086	947	false	false	
6.10.1	1861	471	2448	883	false	true	NA
5.5	1720	911	1748	936	false	false	
5.16	591	927	602	945	false	false	
5.16	1748	857	1758	874	false	false	
5.15.1	1708	877	1726	891	false	true	
6.10.1	1658	847	1689	863	false	true	NA
6.10.1	1685	891	1701	897	false	true	ЗАРЕЧЬЕ
6.10.1	1684	898	1712	905	false	true	ХРАМ НОВОМУЧЕНИКОВ И ИСПОВЕДНИКОВ РОССИЙСКИХ
6.10.1	1652	885	1678	905	false	true	NA
