class	xtl	ytl	xbr	ybr	temporary	occluded	data
6.9.2	1806	707	1982	784	false	false	NA
2.4	2053	704	2160	797	false	false	
4.1.1	2067	807	2153	890	false	false	
6.9.2	2015	698	2096	776	false	true	Заречье МКАД
6.9.1	2136	692	2284	774	false	true	NA
3.24	2275	844	2294	863	false	false	100
5.3	2275	813	2294	842	false	false	
5.15.5	2319	828	2346	854	false	false	
6.10.1	2311	794	2362	819	false	true	Сколково
6.10.2	2373	855	2405	866	false	false	53
8.22.3	2390	879	2396	898	false	false	
5.4	2419	877	2426	888	false	false	
