class	xtl	ytl	xbr	ybr	temporary	occluded	data
6.10.1	1331	931	1435	996	false	true	NA
5.5	1490	984	1501	995	false	false	
6.9.2	1393	786	1507	843	false	false	NA
4.2.3	1207	991	1218	1002	false	false	
5.16	935	988	942	998	false	false	
3.1	994	1006	1005	1017	false	false	
6.6	764	1002	776	1015	false	false	
6.10.1	1321	918	1397	931	false	false	КЛАДБИЩЕ
5.23.1	1321	960	1367	975	false	true	ЗАРЕЧЬЕ
8.22.3	1208	1004	1217	1036	false	false	
5.16	1632	940	1639	951	false	false	
6.10.1	1617	928	1627	937	false	true	NA
