class	xtl	ytl	xbr	ybr	temporary	occluded	data
5.15.1	431	937	452	965	false	false	
5.19.1	1648	891	1657	897	false	true	
6.10.1	1811	864	1951	896	false	false	ЗАРЕЧЬЕ
8.2.2	1317	919	1328	942	false	false	70 м
3.27	1312	895	1332	917	false	false	
6.10.1	1341	883	1465	945	false	true	NA
8.2.2	966	958	977	981	false	false	70 м
3.27	961	935	982	957	false	true	
6.16	1617	900	1672	916	false	false	
8.1.4	1682	810	1724	830	false	false	50 м
3.4	1682	763	1722	805	false	false	8 т
3.1	2142	878	2165	900	false	true	
3.10	961	911	982	934	false	true	
6.10.1	1810	900	1951	932	false	false	ХРАМ НОВОМУЧЕНИКОВ И ИСПОВЕДНИКОВ РОССИЙСКИХ
8.22.3	982	980	990	1008	false	false	
4.2.3	980	968	991	977	false	false	
