class	xtl	ytl	xbr	ybr	temporary	occluded	data
5.16	674	950	692	979	false	false	
2.1	1932	896	1983	948	false	false	
2.5	1929	921	1945	940	false	true	
4.1.2	1933	943	1954	969	false	false	
6.10.1	1800	626	2009	745	false	false	NA
5.15.2	1372	858	1396	882	false	false	
5.15.2	1269	860	1293	885	false	false	
3.19	1237	860	1261	884	false	false	
4.2.1	1292	985	1298	994	false	true	
4.1.1	1075	952	1084	961	false	false	
6.16	1651	974	1673	984	false	false	
5.15.5	1631	956	1651	976	false	false	
5.14	1539	973	1552	987	false	false	
6.6	1491	992	1499	1002	false	true	
5.15.2	1571	841	1596	868	false	false	
5.15.2	1471	852	1495	878	false	false	
5.19.2	971	963	977	966	false	true	
5.19.1	1077	965	1084	967	false	true	
