class	xtl	ytl	xbr	ybr	temporary	occluded	data
1.34.1	1164	957	1201	966	false	false	
5.19.2	415	885	453	926	false	false	
2.2	1258	890	1285	917	false	false	
2.1	1177	925	1188	937	false	false	
5.20	1300	901	1321	922	false	false	
6.10.1	1309	830	1447	872	false	true	NA
8.13	1263	918	1285	939	false	false	
5.19.1	1563	859	1608	903	false	false	
3.24	1708	735	1794	828	false	false	20
5.20	1704	640	1793	728	false	false	
2.4	1855	859	1874	903	false	false	
5.22	2172	814	2197	895	false	false	
3.27	1178	938	1187	947	false	false	
8.2.1	1705	831	1799	878	false	false	50 м
4.3	1265	944	1285	964	false	false	
3.24	1098	937	1107	946	false	false	40
