class	xtl	ytl	xbr	ybr	temporary	occluded	data
4.5.2	1808	930	1824	946	false	false	
6.10.1	1896	736	2264	967	false	true	NA
8.23	2061	906	2147	948	false	false	
5.19.2	239	889	257	913	false	false	
5.19.2	468	921	491	948	false	true	
3.1	696	889	706	911	false	false	
5.15.1	2083	739	2249	829	false	false	
5.19.2	984	916	999	932	false	false	
5.19.1	832	913	847	929	false	false	
3.27	1550	938	1568	954	false	false	
2.1	1636	876	1685	927	false	false	
6.16	1627	951	1678	969	false	false	
5.19.1	1596	852	1628	884	false	false	
5.19.1	1578	902	1596	920	false	false	
