class	xtl	ytl	xbr	ybr	temporary	occluded	data
4.4.1	785	976	814	1004	false	false	
5.19.2	785	1014	813	1043	false	false	
4.4.1	1547	888	1589	936	false	false	
2.4	1539	831	1592	882	false	false	
5.19.2	503	947	551	994	false	false	
3.1	1553	1009	1571	1037	false	true	
8.24	2236	845	2439	949	false	false	
8.2.4	2294	640	2402	844	false	false	
3.27	2272	433	2448	635	false	true	
5.19.2	2312	986	2353	1012	false	true	
4.4.1	2315	946	2350	973	false	false	
5.19.1	1548	948	1591	996	false	false	
5.19.2	1891	1054	1906	1081	false	false	
4.4.2	601	1003	620	1032	false	false	
