class	xtl	ytl	xbr	ybr	temporary	occluded	data
5.19.1	408	917	416	955	false	false	
5.5	405	868	415	906	false	false	
1.23	1546	759	1607	813	false	false	
8.2.1	1554	822	1606	848	false	false	250 м
6.4	1418	849	1454	886	false	false	
8.6.1	1417	889	1454	905	false	false	
6.4	1292	950	1308	969	false	true	
8.24	1383	954	1398	961	false	false	
3.27	1383	937	1398	952	false	false	
8.24	1336	899	1365	913	false	false	
3.27	1335	867	1365	897	false	false	
8.6.1	1292	971	1309	979	false	false	
8.6.1	2289	599	2427	670	false	false	
6.4	2294	447	2432	588	false	false	
