class	xtl	ytl	xbr	ybr	temporary	occluded	data
6.4	1870	859	1908	895	false	false	
5.19.2	112	956	137	980	false	true	
8.17	2014	908	2054	930	false	false	
8.6.5	2013	885	2052	909	false	false	
3.24	1445	830	1492	906	false	false	40
5.19.2	499	927	522	950	false	false	
5.20	585	892	612	919	false	false	
3.24	583	921	608	946	false	false	20
8.6.5	1869	900	1908	919	false	false	
6.4	2010	843	2050	884	false	false	
3.27	580	947	606	975	false	false	
8.2.4	585	977	598	1004	false	false	
5.20	323	919	338	934	false	false	
3.25	322	937	337	953	false	false	20
