class	xtl	ytl	xbr	ybr	temporary	occluded	data
3.25	313	918	329	933	false	false	20
8.17	2062	899	2105	922	false	false	
6.4	1909	847	1950	886	false	false	
5.19.2	88	935	113	958	false	true	
5.20	313	899	330	915	false	false	
8.6.5	2061	876	2103	901	false	false	
8.6.5	1908	890	1949	911	false	false	
3.24	1481	806	1532	888	false	false	40
6.4	2059	831	2101	875	false	false	
8.2.4	572	959	585	986	false	false	
3.27	566	930	596	958	false	false	
3.24	569	901	598	928	false	false	20
5.20	571	872	600	900	false	false	
5.19.2	486	908	510	931	false	false	
