class	xtl	ytl	xbr	ybr	temporary	occluded	data
3.24	1118	977	1130	991	true	false	60
1.25	1000	953	1039	987	true	false	
4.2.1	1034	911	1080	949	false	true	
4.2.3	1041	950	1074	987	false	false	
3.24	1079	951	1104	978	true	false	80
1.34.3	1010	988	1102	1010	false	false	
1.34.2	1116	989	1157	1001	false	false	
1.25	1132	973	1146	987	true	false	
1.20.2	1148	973	1165	988	true	false	
6.10.1	1342	936	1364	948	false	false	NA
6.9.1	1289	953	1312	964	false	false	NA
6.10.1	1270	683	1410	759	false	false	NA
5.15.5	1751	867	1790	908	false	false	
3.27	1362	897	1376	910	false	false	
8.24	1360	913	1376	921	false	false	
8.2.4	1366	923	1373	937	false	false	
4.2.3	1129	952	1152	973	false	false	
3.1	312	982	329	1002	false	false	
6.10.1	1524	889	1618	934	false	true	NA
