class	xtl	ytl	xbr	ybr	temporary	occluded	data
6.10.1	1274	955	1295	964	false	true	NA
1.20.2	1094	981	1109	993	true	false	
1.34.2	1063	996	1094	1007	false	true	
1.25	1077	981	1091	995	true	false	
1.34.3	969	998	1052	1017	false	false	
3.24	1032	965	1055	988	true	false	80
1.25	959	965	995	997	true	false	
4.2.1	991	929	1031	961	false	true	
6.9.1	1240	965	1259	975	false	false	NA
6.10.1	1204	776	1306	830	false	false	NA
6.9.1	1677	0	2333	288	false	true	NA
5.15.5	1491	920	1514	945	false	false	
4.2.3	998	965	1029	996	false	false	
3.1	456	995	470	1009	false	false	
4.2.3	1072	959	1097	981	false	false	
6.10.1	1408	917	1489	954	false	true	NA
