class	xtl	ytl	xbr	ybr	temporary	occluded	data
6.10.1	1432	905	1492	936	false	false	NA
5.19.1	2358	821	2393	879	false	false	
6.10.1	1752	704	2059	825	false	true	NA
6.10.1	1128	963	1171	977	false	false	NA
5.5	1673	860	1709	897	false	false	
3.27	1672	905	1711	943	false	false	
5.19.2	1983	784	2009	864	false	false	
6.10.1	1241	960	1282	975	false	false	NA
6.10.1	1182	961	1224	975	false	false	NA
3.25	1336	998	1349	1010	false	false	80
4.1.4	1437	884	1458	904	false	false	
2.1	1335	977	1351	992	false	false	
