class	xtl	ytl	xbr	ybr	temporary	occluded	data
4.1.4	1298	972	1310	984	false	false	
2.1	1294	952	1308	970	false	true	
5.16	1545	904	1567	940	false	true	
6.6	1356	915	1375	934	false	false	
6.9.1	1252	888	1334	932	false	true	NA
6.10.1	1202	948	1241	968	false	false	NA
3.24	1091	978	1105	988	true	true	80
4.2.3	1069	978	1085	987	false	true	
1.25	1049	980	1060	988	true	true	
1.20.2	1180	982	1191	1000	true	false	
6.6	271	974	288	992	false	false	
4.2.3	1159	962	1179	983	false	false	
6.10.1	1667	710	1779	769	false	false	NA
4.2.1	1064	955	1090	977	false	true	
5.19.1	154	980	174	987	false	true	
