class	xtl	ytl	xbr	ybr	temporary	occluded	data
3.24	975	940	1007	972	true	false	80
1.25	882	941	928	982	true	false	
4.2.3	931	942	971	982	false	false	
4.2.1	922	893	976	943	false	true	
5.19.2	1907	865	1920	902	false	false	
6.10.1	1628	813	1785	888	false	true	NA
6.10.1	1301	905	1334	922	false	true	NA
6.9.1	1222	938	1246	950	false	false	NA
6.10.1	1245	230	1592	408	false	false	NA
5.14	1303	924	1319	939	false	false	
8.2.4	1378	868	1390	894	false	false	
3.24	1056	976	1066	985	true	false	60
3.27	1369	824	1396	851	false	false	
8.24	1371	854	1396	866	false	false	
1.25	1069	971	1081	983	true	false	
1.20.2	1085	971	1099	984	true	false	
4.2.3	1068	951	1086	970	false	false	
1.34.2	1065	985	1091	995	false	false	
1.34.3	896	984	1001	1007	false	false	
8.5.2	1303	940	1319	947	false	false	
5.19.2	1687	893	1692	919	false	false	
5.19.1	2406	779	2433	823	false	true	
