class	xtl	ytl	xbr	ybr	temporary	occluded	data
5.16	788	952	801	973	false	false	
5.19.2	966	865	979	879	false	false	
4.2.1	1095	959	1110	973	false	false	
8.22.1	1098	974	1109	1009	false	false	
5.19.1	1210	857	1224	871	false	false	
5.19.1	1298	964	1313	979	false	false	
6.13	1443	947	1469	961	false	false	35 мосавтодор
5.16	1615	882	1642	926	false	false	
5.19.2	164	939	213	989	false	false	
5.19.2	495	587	546	638	false	false	
5.19.1	1261	465	1328	533	false	false	
5.19.1	1745	918	1814	987	false	false	
5.19.2	884	971	896	984	false	false	
