class	xtl	ytl	xbr	ybr	temporary	occluded	data
2.1	1451	974	1469	989	false	false	
4.2.3	1188	1051	1215	1079	false	false	
4.2.1	335	1036	407	1108	false	false	
5.19.1	1452	1001	1464	1012	false	true	
5.19.2	1512	975	1524	989	false	false	
4.1.1	1454	992	1466	1005	false	false	
2.1	1436	997	1447	1008	false	false	
2.4	1408	978	1416	985	false	false	
5.15.2	1247	99	1356	214	false	false	
5.15.2	573	100	699	222	false	false	
5.15.2	0	85	65	215	false	true	
8.22.3	1476	983	1488	1018	false	false	
4.2.3	1475	969	1489	982	false	false	
5.23.1	1228	977	1258	986	false	false	Дубки
5.24.1	1224	990	1264	999	false	false	Акулово
2.1	1519	988	1540	1010	false	false	
6.9.1	1275	940	1331	972	false	false	NA
3.1	1667	854	1749	940	false	false	
4.2.3	1202	942	1225	966	false	false	
8.22.1	513	899	544	1005	false	false	
4.2.1	507	846	549	890	false	false	
3.1	462	850	503	892	false	false	
3.1	604	977	622	996	false	false	
8.22.3	1204	967	1221	1025	false	false	
3.1	766	1000	776	1011	false	false	
5.5	1597	970	1621	994	false	false	
8.1.1	1408	987	1415	991	false	false	100 м
