class	xtl	ytl	xbr	ybr	temporary	occluded	data
5.15.2	1242	942	1248	948	false	false	
5.15.2	1209	944	1215	950	false	false	
2.1	977	874	1017	913	false	true	
3.10	394	963	411	979	false	false	
4.1.1	983	918	1013	946	false	true	
5.15.2	1172	946	1177	952	false	false	
5.15.5	1317	985	1323	991	false	false	
2.2	1425	924	1444	943	false	false	
2.4	1423	945	1444	964	false	false	
4.1.1	1424	967	1442	985	false	false	
3.13	1376	953	1388	959	false	false	29
5.19.1	330	977	339	998	false	false	
5.6	1494	949	1518	974	false	false	
