class	xtl	ytl	xbr	ybr	temporary	occluded	data
5.16	1488	911	1505	935	false	true	
4.1.1	1195	967	1201	973	false	false	
5.19.1	1410	931	1438	959	false	false	
5.16	1001	956	1008	967	false	true	
5.19.1	1307	939	1316	947	false	true	
5.19.2	755	949	777	974	false	false	
5.19.1	1210	750	1237	777	false	false	
5.19.2	1061	949	1069	957	false	false	
5.19.2	922	788	947	813	false	false	
1.8	1328	950	1344	965	false	false	
8.22.1	1195	975	1201	992	false	false	
7.19	1296	960	1306	976	false	true	
5.23.1	1285	980	1296	984	false	true	Жаворонки
