class	xtl	ytl	xbr	ybr	temporary	occluded	data
6.9.1	1406	968	1451	992	false	false	NA
3.1	1465	972	1487	993	false	false	
4.2.3	1338	985	1349	997	false	false	
8.22.1	1068	982	1081	1024	false	false	
4.2.1	1066	964	1081	979	false	false	
3.1	1050	965	1064	979	false	false	
3.1	992	1010	1002	1019	false	false	
8.22.3	1339	998	1349	1015	false	true	
5.15.2	1199	845	1219	864	false	false	
5.19.2	205	941	210	977	false	false	
5.15.2	1079	849	1098	866	false	false	
5.15.2	1331	838	1349	857	false	false	
2.1	1514	995	1523	1005	false	false	
4.1.1	1514	1006	1523	1017	false	false	
4.2.3	1523	992	1529	1000	false	true	
8.22.3	1523	1002	1529	1025	false	true	
